Variable,Date,PctLeft,N
ASYLSE,7/1/1998,37.8,1500
ASYLSE,7/1/2002,29.1,1500
ASYLSE,7/1/2003,35.1,1500
ASYLSE,7/1/2006,26.6,1500
ASYLSE2,3/1/1991,58.4,1500
ASYLSE2,3/1/1992,51.9,1500
ASYLSE2,3/1/1993,74.1,1500
ASYLSE2,10/1/1997,80.6,1500
ASYLSE2,4/1/2000,88.4,1500
ETHNICM,7/1/1994,26.4,1500
ETHNICM,7/1/1998,28.9,1500
ETHNICM,7/1/2002,19.1,1500
ETHNICM,7/1/2003,20.2,1500
ETHNICM,7/1/2006,17.6,1500
ESS_ECON,7/1/2002,50.6,1500
ESS_ECON,7/1/2004,44.1,1500
ESS_ECON,7/1/2006,58,1500
ESS_ECON,7/1/2008,65.3,1500
ESS_ECON,7/1/2010,59,1500
ESS_ECON,7/1/2012,60.6,1500
ESS_ECON,7/1/2014,48.7,1899
ESS_ECON,7/1/2016,68.1,3571
IMMEE,3/1/1991,33.2,1500
IMMEE,3/1/1992,21,1500
IMMEE,3/1/1993,29.6,1500
IMMEE,10/1/1997,34.7,1500
IMMEE,4/1/2000,47.7,1500
IMMNUMB2,7/1/1995,18,1500
IMMNUMB2,7/1/1997,14.7,1500
IMMNUMB2,7/1/2000,8.2,1500
IMMNUMB2,7/1/2002,11.1,1500
IMMNUMB2,7/1/2004,11.5,1500
ESS_IMM3,7/1/2002,56,2310
ESS_IMM3,7/1/2004,52,1861
ESS_IMM3,7/1/2006,45.4,1858
ESS_IMM3,7/1/2008,57.7,1752
ESS_IMM3,7/1/2010,52.8,1793
ESS_IMM3,7/1/2012,54.7,1821
ESS_IMM3,7/1/2014,52.2,1899
ESS_IMM3,7/1/2016,62.6,3571
ESS_IMM1,7/1/2002,63.2,2310
ESS_IMM1,7/1/2004,65.4,1861
ESS_IMM1,7/1/2006,57.2,1858
ESS_IMM1,7/1/2008,70,1752
ESS_IMM1,7/1/2010,66,1793
ESS_IMM1,7/1/2012,68,1821
ESS_IMM1,7/1/2014,71,1899
ESS_IMM1,7/1/2016,75.9,3571
ESS_LIVE,7/1/2002,40.7,2310
ESS_LIVE,7/1/2004,47.1,1861
ESS_LIVE,7/1/2006,54.6,1858
ESS_LIVE,7/1/2008,56.2,1752
ESS_LIVE,7/1/2010,57.9,1793
ESS_LIVE,7/1/2012,64.5,1821
ESS_LIVE,7/1/2014,58.3,1900
ESS_LIVE,7/1/2016,66.5,3571
RACED,10/1/1988,90.3,1500
RACED,3/1/1992,89.7,1500
RACED,3/1/1993,92.3,1500
RACED,11/1/1994,92.8,1500
RACED,10/1/1997,91.3,1500
RACED,4/1/2000,89.7,1500
ESS_CULT,7/1/2002,77.1,2310
ESS_CULT,7/1/2004,74.7,1861
ESS_CULT,7/1/2006,78.6,1858
ESS_CULT,7/1/2008,79.9,1752
ESS_CULT,7/1/2010,80.8,1793
ESS_CULT,7/1/2012,80,1821
ESS_CULT,7/1/2014,76.4,1900
ESS_CULT,7/1/2016,73,3571
ESS_IMM2,7/1/2002,57.7,2310
ESS_IMM2,7/1/2004,56.1,1861
ESS_IMM2,7/1/2006,49.2,1858
ESS_IMM2,7/1/2008,64.9,1752
ESS_IMM2,7/1/2010,63.1,1793
ESS_IMM2,7/1/2012,62.5,1821
ESS_IMM2,7/1/2014,66.7,1900
ESS_IMM2,7/1/2016,70,3571
EVS_NEIGH,9/30/1990,90.07,1017
EVS_NEIGH,8/30/1999,94.99,1003
EVS_NEIGH,3/10/2006,91.1,1050
EVS_NEIGH,10/30/2008,85.94,1521
EVS_NEIGH,12/31/2012,80.39,1902
EB_DISTURB,12/31/1988,91.8268387,1006
EB_DISTURB,12/31/1992,86.19183523,1000
EB_DISTURB,12/31/1993,85.97434853,1000
EB_DISTURB,12/31/1994,89.44138949,1000
EB_DISTURB,12/31/1997,88.3225761,1000
EB_DISTURB,12/31/2000,82.83451058,1000
EB_FAMILY,12/31/1997,44.95235419,1000
EB_FAMILY,12/31/2000,32.92316676,1000
EB_FAMILY,12/31/2003,50.87917692,1001
EB_NUM,12/31/1988,68.65175121,1006
EB_NUM,12/31/1991,53.52381849,1000
EB_NUM,12/31/1992,49.20531967,1000
EB_NUM,12/31/1993,50.49765934,1000
EB_NUM,12/31/1994,56.28778613,1000
EB_NUM,12/31/1994,51.17116827,1000
EB_NUM,12/31/1997,59.54848361,1000
EB_SENDBACK,12/31/1997,90.0776975,1000
EB_SENDBACK,12/31/2000,84.9701741,1000
EB_SENDBACK,12/31/2003,76.80378253,1001
EB_RIGHTS,12/31/1997,77.05241668,1000
EB_RIGHTS,12/31/2000,74.49398882,1000
EB_RIGHTS,12/31/2003,71.87544979,1001
EB_RIGHTS2,12/31/1992,29.25651424,1000
EB_RIGHTS2,12/31/1990,49.98304139,1000
EB_RIGHTS2,12/31/1991,33.86922183,1000
EB_RIGHTS2,12/31/1994,27.78720236,1000
EB_SENDBACK3,12/31/1997,90.34591024,1000
EB_SENDBACK3,12/31/2000,85.86488598,1000
EB_SENDBACK3,12/31/2003,74.09189812,1001
EB_SENDBACK2,12/31/1997,25.19801246,1000
EB_SENDBACK2,12/31/2000,16.69658091,1000
EB_SENDBACK2,12/31/2003,18.71738769,1001
EB_SENDBACK4,12/31/1997,74.50485842,1000
EB_SENDBACK4,12/31/2000,59.85320377,1000
EB_SENDBACK4,12/31/2003,60.65363202,1001
