"","VARIABLE","DATE","N","POSITIVE","NET","App_AppDis","Country"
"1","ASEP-JDS Gov",1989-05-15,1214,41.3,19.3,65.24,"Spain"
"2","ASEP-JDS Gov",1989-06-15,1198,43.1,21.3,66.41,"Spain"
"3","ASEP-JDS Gov",1989-09-15,1195,43.7,7.4,54.63,"Spain"
"4","ASEP-JDS Gov",1989-10-15,1208,46.2,10.1,56.14,"Spain"
"5","ASEP-JDS Gov",1989-11-15,1199,49.9,13.8,58.02,"Spain"
"6","ASEP-JDS Gov",1989-12-15,1222,54,22.8,63.38,"Spain"
"7","ASEP-JDS Gov",1990-01-15,1210,49.7,14.4,58.47,"Spain"
"8","ASEP-JDS Gov",1990-02-15,1208,45.3,8.1,54.91,"Spain"
"9","ASEP-JDS Gov",1990-03-15,1202,44.4,8.2,55.09,"Spain"
"10","ASEP-JDS Gov",1990-04-15,1218,42,2.5,51.53,"Spain"
"11","ASEP-JDS Gov",1990-05-15,1219,42.2,4.4,52.75,"Spain"
"12","ASEP-JDS Gov",1990-06-15,1221,45.9,7.8,54.64,"Spain"
"13","ASEP-JDS Gov",1990-07-15,1208,51.2,19.8,61.99,"Spain"
"14","ASEP-JDS Gov",1990-09-15,1210,41.7,1.2,50.73,"Spain"
"15","ASEP-JDS Gov",1990-10-15,1224,41.1,-0.6,49.64,"Spain"
"16","ASEP-JDS Gov",1990-11-15,1238,45.8,9.5,55.79,"Spain"
"17","ASEP-JDS Gov",1990-12-15,1206,44.6,7.6,54.66,"Spain"
"18","ASEP-JDS Gov",1991-01-15,1233,42.5,3.4,52.08,"Spain"
"19","ASEP-JDS Gov",1991-02-15,1208,48.2,13.4,58.07,"Spain"
"20","ASEP-JDS Gov",1991-03-15,1216,56.6,31.4,69.19,"Spain"
"21","ASEP-JDS Gov",1991-04-15,1211,48.9,15.9,59.71,"Spain"
"22","ASEP-JDS Gov",1991-05-15,1202,50,18.6,61.43,"Spain"
"23","ASEP-JDS Gov",1991-06-15,1215,47.5,14.4,58.93,"Spain"
"24","ASEP-JDS Gov",1991-09-15,1200,47,12.4,57.6,"Spain"
"25","ASEP-JDS Gov",1991-10-15,1215,45.4,9.8,56.05,"Spain"
"26","ASEP-JDS Gov",1991-11-15,1219,44.5,5.3,53.17,"Spain"
"27","ASEP-JDS Gov",1991-12-15,1206,39.2,-2.4,48.51,"Spain"
"28","ASEP-JDS Gov",1992-01-15,1206,38.3,-1.4,49.1,"Spain"
"29","ASEP-JDS Gov",1992-02-15,1213,38,-5.2,46.8,"Spain"
"30","ASEP-JDS Gov",1992-03-15,1211,35.4,-4.8,46.83,"Spain"
"31","ASEP-JDS Gov",1992-04-15,1208,38.5,-3.6,47.77,"Spain"
"32","ASEP-JDS Gov",1992-05-15,1211,35.2,-8.8,44.44,"Spain"
"33","ASEP-JDS Gov",1992-06-15,1216,33.5,-14.9,40.9,"Spain"
"34","ASEP-JDS Gov",1992-07-15,1215,29.4,-20.2,37.22,"Spain"
"35","ASEP-JDS Gov",1992-09-15,1220,31.2,-20.7,37.55,"Spain"
"36","ASEP-JDS Gov",1992-10-15,1222,26.2,-30.4,31.64,"Spain"
"37","ASEP-JDS Gov",1992-11-15,1220,29.1,-24.3,35.27,"Spain"
"38","ASEP-JDS Gov",1992-12-15,1212,28.4,-28.8,33.18,"Spain"
"39","ASEP-JDS Gov",1993-01-15,1203,26.5,-30,31.93,"Spain"
"40","ASEP-JDS Gov",1993-02-15,1209,27.6,-30.6,32.17,"Spain"
"41","ASEP-JDS Gov",1993-03-15,1212,22.5,-40,26.47,"Spain"
"42","ASEP-JDS Gov",1993-04-15,1217,30.3,-24,35.82,"Spain"
"43","ASEP-JDS Gov",1993-05-15,1222,36.4,-13,42.42,"Spain"
"44","ASEP-JDS Gov",1993-06-15,1219,37.5,-10.2,44.01,"Spain"
"45","ASEP-JDS Gov",1993-07-15,1207,35.5,-10.5,43.56,"Spain"
"46","ASEP-JDS Gov",1993-09-15,1215,26.6,-28,32.76,"Spain"
"47","ASEP-JDS Gov",1993-10-15,1222,28.8,-27.4,33.88,"Spain"
"48","ASEP-JDS Gov",1993-11-15,1217,26.9,-35.5,30.12,"Spain"
"49","ASEP-JDS Gov",1993-12-15,1220,24.5,-38.5,28,"Spain"
"50","ASEP-JDS Gov",1994-01-15,1223,26.6,-34.2,30.43,"Spain"
"51","ASEP-JDS Gov",1994-02-15,1219,24.1,-39.5,27.48,"Spain"
"52","ASEP-JDS Gov",1994-03-15,1216,22.9,-41.9,26.11,"Spain"
"53","ASEP-JDS Gov",1994-04-15,1221,21.2,-46.9,23.74,"Spain"
"54","ASEP-JDS Gov",1994-05-15,1223,24,-42.1,26.64,"Spain"
"55","ASEP-JDS Gov",1994-06-15,1221,19.9,-45.6,23.3,"Spain"
"56","ASEP-JDS Gov",1994-07-15,1208,24.5,-35.6,28.96,"Spain"
"57","ASEP-JDS Gov",1994-09-15,1212,23.4,-36.7,28.02,"Spain"
"58","ASEP-JDS Gov",1994-10-15,1212,27.2,-30.9,31.89,"Spain"
"59","ASEP-JDS Gov",1994-11-15,1210,22.8,-40.1,26.6,"Spain"
"60","ASEP-JDS Gov",1994-12-15,1210,28.4,-29,33.1,"Spain"
"61","ASEP-JDS Gov",1995-01-15,1215,24.7,-36.5,28.75,"Spain"
"62","ASEP-JDS Gov",1995-02-15,1211,24.3,-38.1,28.03,"Spain"
"63","ASEP-JDS Gov",1995-03-15,1219,20.6,-47.1,23.33,"Spain"
"64","ASEP-JDS Gov",1995-04-15,1213,20.5,-45.4,23.73,"Spain"
"65","ASEP-JDS Gov",1995-05-15,1213,26.7,-28.6,32.56,"Spain"
"66","ASEP-JDS Gov",1995-06-15,1221,25.2,-32.1,30.55,"Spain"
"67","ASEP-JDS Gov",1995-07-15,1209,18.6,-46.6,22.2,"Spain"
"68","ASEP-JDS Gov",1995-09-15,1217,20.1,-44,23.87,"Spain"
"69","ASEP-JDS Gov",1995-10-15,1210,20.1,-41.3,24.66,"Spain"
"70","ASEP-JDS Gov",1995-11-15,1214,21.5,-42.7,25.09,"Spain"
"71","ASEP-JDS Gov",1995-12-15,1214,24.8,-34.5,29.49,"Spain"
"72","ASEP-JDS Gov",1996-01-15,1216,24.7,-34.5,29.44,"Spain"
