VARIABLE,DATE,POSITIVE,N
ABC,20/02/1981,68,
ABC,29/03/1981,62,
ABC,31/03/1981,72,
ABC,22/04/1981,73,
ABC,14/05/1981,66,
ABC,20/05/1981,66,
ABC,09/07/1981,57,
ABC,28/07/1981,62,
ABC,20/09/1981,61,
ABC,26/09/1981,64,
ABC,05/10/1981,58,
ABC,12/10/1981,61,
ABC,18/10/1981,59,
ABC,22/11/1981,52,
ABC,12/12/1981,52,
ABC,30/01/1982,52,
ABC,18/02/1982,48,
ABC,08/03/1982,49,
ABC,21/03/1982,50,
ABC,25/04/1982,51,
ABC,15/05/1982,46,
ABC,15/08/1982,49,
ABC,15/09/1982,46,
ABC,15/10/1982,49,
ABC,15/12/1982,45,
ABC,15/01/1983,42,
ABC,15/02/1983,45,
ABC,15/04/1983,49,
ABC,15/05/1983,53,
ABC,15/06/1983,53,
ABC,15/07/1983,52,
ABC,15/09/1983,52,
ABC,15/10/1983,57,
ABC,15/11/1983,63,
ABC,15/12/1983,59,
ABC,15/01/1984,57,
ABC,15/02/1984,59,
ABC,15/05/1984,57,
ABC,15/07/1984,54,
ABC,15/09/1984,58,
ABC,15/01/1985,68,
ABC,15/02/1985,62,
ABC,15/03/1985,60,
ABC,15/04/1985,54,
ABC,15/05/1985,57,
ABC,15/06/1985,66,
ABC,15/07/1985,65,
ABC,15/09/1985,62,
ABC,15/10/1985,63,
ABC,15/11/1985,67,
ABC,15/12/1985,66,
ABC,15/02/1986,65,
ABC,15/03/1986,65,
ABC,15/04/1986,70,
ABC,15/05/1986,70,
ABC,15/11/1986,57,
ABC,15/12/1986,49,
ABC,15/01/1987,50,
ABC,15/02/1987,44,
ABC,15/03/1987,50,
ABC,15/05/1987,52,
ABC,15/06/1987,50,
ABC,15/08/1987,50,
ABC,15/09/1987,52,
ABC,15/10/1987,54,
ABC,15/11/1987,50,
ABC,15/12/1987,55,
ABC,12/01/1989,64,1503
ABC,02/11/1990,59,1015
ABC,25/07/1991,71,1205
ABC,13/09/1991,69,1233
ABC,08/04/1992,40,1009
ABC,10/02/1993,54,1004
ABC,19/02/1993,63,1003
ABC,16/09/1993,51,1006
ABC,05/10/1994,45,1031
ABC,03/11/1994,52,1410
ABC,03/01/1995,44,1024
ABC,06/06/1995,47,1016
ABC,10/11/1995,54,1005
ABC,27/03/1996,52,600
ABC,24/03/1997,56,752
ABC,24/08/1997,58,1526
ABC,11/01/1998,62,1000
ABC,23/01/1998,59,1537
ABC,24/01/1998,56,1020
ABC,25/01/1998,60,1023
ABC,28/01/1998,68,1021
ABC,29/01/1998,69,1032
ABC,17/02/1998,67,1026
ABC,16/03/1998,63,655
ABC,17/03/1998,66,505
ABC,01/04/1998,66,508
ABC,12/05/1998,64,506
ABC,01/06/1998,61,552
ABC,29/07/1998,63,661
ABC,15/08/1998,62,1023
ABC,17/08/1998,61,587
ABC,19/08/1998,60,508
ABC,20/08/1998,65,510
ABC,23/08/1998,64,760
ABC,09/09/1998,57,509
ABC,11/09/1998,56,510
ABC,12/09/1998,59,508
ABC,13/09/1998,59,513
ABC,14/09/1998,59,506
ABC,21/09/1998,60,523
ABC,15/10/1998,62,1208
ABC,22/10/1998,62,1227
ABC,29/10/1998,66,2105
ABC,07/11/1998,63,503
ABC,20/11/1998,61,1008
ABC,11/12/1998,60,528
ABC,06/02/1999,66,803
ABC,12/02/1999,67,526
ABC,06/06/1999,57,507
ABC,10/06/1999,57,507
ABC,28/10/1999,59,1205
ABC,26/01/2000,58,515
ABC,10/05/2000,57,1006
ABC,16/08/2000,60,1002
ABCWP,17/01/1988,54,1505
ABCWP,19/05/1988,50,1500
ABCWP,06/07/1988,56,1500
ABCWP,10/02/1989,76,1512
ABCWP,30/03/1989,70,1525
ABCWP,19/05/1989,67,1513
ABCWP,15/06/1989,73,1546
ABCWP,17/08/1989,72,1509
ABCWP,28/09/1989,76,1535
ABCWP,11/01/1990,79,1518
ABCWP,01/02/1990,77,1008
ABCWP,17/05/1990,70,1526
ABCWP,19/07/1990,65,1500
ABCWP,06/09/1990,76,1011
ABCWP,20/09/1990,64,756
ABCWP,05/10/1990,65,756
ABCWP,10/10/1990,57,1006
ABCWP,30/11/1990,63,758
ABCWP,23/01/1991,79,1015
ABCWP,01/03/1991,90,1215
ABCWP,30/05/1991,76,1511
ABCWP,23/08/1991,67,1017
ABCWP,16/10/1991,65,1536
ABCWP,24/10/1991,58,1009
ABCWP,11/12/1991,47,1512
ABCWP,13/01/1992,46,810
ABCWP,29/01/1992,46,769
ABCWP,30/01/1992,45,1512
ABCWP,04/03/1992,39,1030
ABCWP,22/04/1992,43,1003
ABCWP,08/05/1992,40,1144
ABCWP,03/06/1992,35,1512
ABCWP,01/07/1992,38,1506
ABCWP,11/12/1992,49,1011
ABCWP,14/01/1993,56,1510
ABCWP,25/02/1993,60,1216
ABCWP,23/04/1993,59,1507
ABCWP,20/05/1993,47,1005
ABCWP,11/06/1993,45,1006
ABCWP,06/08/1993,46,1216
ABCWP,07/10/1993,51,1015
ABCWP,11/11/1993,49,1218
ABCWP,19/11/1993,53,1005
ABCWP,20/11/1993,62,1005
ABCWP,03/12/1993,59,1001
ABCWP,04/12/1993,62,1001
ABCWP,08/12/1993,61,1005
ABCWP,15/12/1993,58,1000
ABCWP,17/12/1993,54,1005
ABCWP,18/12/1993,58,1005
ABCWP,05/01/1994,59,1038
ABCWP,14/01/1994,59,1000
ABCWP,20/01/1994,56,1507
ABCWP,24/02/1994,58,1531
ABCWP,25/03/1994,57,1029
ABCWP,12/05/1994,51,1523
ABCWP,23/06/1994,50,1531
ABCWP,26/01/1995,54,1026
ABCWP,16/03/1995,52,1524
ABCWP,04/04/1995,46,1026
ABCWP,10/05/1995,56,1011
ABCWP,28/06/1995,51,1003
ABCWP,14/07/1995,51,1548
ABCWP,28/09/1995,52,1530
ABCWP,10/11/1995,54,1005
ABCWP,19/11/1995,54,827
ABCWP,18/01/1996,51,1005
ABCWP,08/03/1996,55,1014
ABCWP,14/03/1996,53,1512
ABCWP,20/05/1996,57,1007
ABCWP,27/06/1996,56,1011
ABCWP,01/08/1996,59,1514
ABCWP,13/01/1997,60,1206
ABCWP,06/03/1997,55,1004
ABCWP,21/04/1997,56,1013
ABCWP,05/06/1997,59,1137
ABCWP,09/10/1997,59,1515
